target_0,target_1,filename
0.61,0.79,[3 3]_[1 0].png
0.09,0.07,[3 3]_[3 0].png
0.45,0.48,[3 2]_[0 0].png
0.57,0.47,[4 4]_[0 0].png
0.78,0.48,[2 3]_[0 0].png
0.21,0.48,[4 2]_[1 0].png
0.28,0.27,[2 3]_[2 0].png
0.04,0.04,[4 4]_[3 0].png
0.87,0.47,[2 4]_[0 0].png
0.12,0.08,[4 3]_[3 0].png
0.56,0.48,[2 2]_[0 0].png
0.24,0.29,[3 4]_[2 0].png
0.04,0.04,[4 2]_[3 0].png
0.49,0.45,[4 3]_[0 0].png
0.67,0.49,[3 4]_[0 0].png
0.37,0.36,[4 4]_[2 0].png
0.43,0.46,[3 2]_[1 0].png
0.02,0.07,[2 4]_[3 0].png
