workerid,exclusion_num,trial_num,target,condition,object
0,NA,1,"""1""",low,chair
0,1,NA,"""1""",low,chair
0,2,NA,"""0""",low,chair
1,NA,1,"""1""",low,cinderblocks
1,1,NA,"""1""",low,cinderblocks
1,2,NA,"""0""",low,cinderblocks
2,NA,1,"""1""",low,cinderblocks
2,1,NA,"""1""",low,cinderblocks
2,2,NA,"""0""",low,cinderblocks
3,NA,1,"""1""",low,plant
3,1,NA,"""1""",low,plant
3,2,NA,"""0""",low,plant
4,NA,1,"""1""",low,rulers
4,1,NA,"""0""",low,rulers
4,2,NA,"""0""",low,rulers
5,NA,1,"""1""",low,rulers
5,1,NA,"""1""",low,rulers
5,2,NA,"""0""",low,rulers
6,NA,1,"""1""",low,string
6,1,NA,"""0""",low,string
6,2,NA,"""0""",low,string
7,NA,1,"""0""",low,string
7,1,NA,"""1""",low,string
7,2,NA,"""0""",low,string
8,NA,1,"""0""",none,chair
8,1,NA,"""2""",none,chair
8,2,NA,"""0""",none,chair
9,NA,1,"""1""",none,chair
9,1,NA,"""2""",none,chair
9,2,NA,"""0""",none,chair
10,NA,1,"""1""",none,hat
10,1,NA,"""1""",none,hat
10,2,NA,"""0""",none,hat
11,NA,1,"""0""",none,plant
11,1,NA,"""2""",none,plant
11,2,NA,"""0""",none,plant
12,NA,1,"""0""",none,rulers
12,1,NA,"""2""",none,rulers
12,2,NA,"""0""",none,rulers
13,NA,1,"""0""",none,string
13,1,NA,"""2""",none,string
13,2,NA,"""0""",none,string
14,NA,1,"""0""",none,string
14,1,NA,"""0""",none,string
14,2,NA,"""0""",none,string
15,NA,1,"""1""",none,string
15,1,NA,"""2""",none,string
15,2,NA,"""0""",none,string
16,NA,1,"""1""",none,tape
16,1,NA,"""2""",none,tape
16,2,NA,"""0""",none,tape
